SYMBOL,NAME OF COMPANY,ISIN NUMBER
SHIVACEM,Shiva Cement Limited,INE555C01029
DANLAW,Danlaw Technologies India Limited-$,INE310B01013
HBPOR,HB Portfolio Limited,INE638B01025
HBESD,HB Estate Developers Limited,INE640B01021
OMNIAX,Omni AXs Software Limited,INE369B01019
SOFTSOL,Softsol India Limited,INE002B01016
PADMALAYAT,Padmalaya Telefilms Limited,INE243B01016
VIRGOGLOB,Virgo Global Limited,INE400B01020
PICTUREHS,Picturehouse Media Limited,INE448B01029
HITKITGLO,Hit Kit Global Solutions Limited,INE309B01023
NAGPI,Nagpur Power & Industries Limited,INE099E01016
WEPSOLN,WEP Solutions Limited,INE434B01029
UNIVARTS,Universal Arts Limited,INE464B01018
FIRSTFIN,First Fintec Limited,INE683B01047
BABA,Baba Arts Limited-$,INE893A01036
TYCHE,Tyche Industries Limited,INE443B01012
KONNDOR,Konndor Industries Limited,INE971A01014
USGTECH,USG Tech Solutions Limited,INE718B01017
7TEC,Saven Technologies Limited,INE856B01023
TRANSCOR,Transcorp International Limited,INE330E01023
GENUSPRIME,Genus Prime Infra Limited,INE256D01014
SANINFRA,Sanmit Infra Limited,INE799C01031
TSPIRITUAL,T Spiritual World Limited,INE541C01037
SHALIWIR,Shalimar Wires Industries Limited,INE655D01025
HAZOOR,Hazoor Multi Projects Limited-$,INE550F01049
KAMAHOLD,Kama Holdings Limited-$,INE411F01010
BLIL,Balmer Lawrie Investments Limited,INE525F01025
RAJPALAYAM,Rajapalayam Mills Limited-$,INE296E01026
BEEYU,Beeyu Overseas Limited,INE052B01011
FACORALL,Facor Alloys Limited,INE828G01013
PBAINFRA,PBA Infrastructure Limited,INE160H01019
CELLA,Cella Space Limited,INE266H01014
MPDL,MPDL Limited,INE493H01014
GTNTEX,GTN Textiles Limited,INE302H01017
INDICAP,Inditrade Capital Limited,INE347H01012
AICHAMP,AI Champdany Industries Limited,INE768E01024
ELAND,E-Land Apparel Limited,INE311H01018
JAGJANANI,Jagjanani Textiles Limited,INE702H01018
LEHAR,Lehar Footwears Limited,INE976H01018
HARYNACAP,Haryana Capfin Limited,INE928H01019
SSLEL,Sir Shadi Lal Enterprises Limited,INE117H01019
VTMLimited,VTM Limited,INE222F01029
PARLEIND,Parle Industries Limited,INE272G01014
RATHIBAR,Rathi Bars Limited,INE575I01016
PORWAL,Porwal Auto Components Limited,INE386I01018
GOKAKTEX,Gokak Textiles Limited,INE642I01014
TELOGICA,Telogica Limited,INE778I01024
SENSEX1,Kotak S&P BSE Sensex ETF,INF174KA1JD7
CHLLimited,CHL Limited,INE790D01020
LGBFORGE,LGB Forge Limited,INE201J01017
SICAGEN,Sicagen India Limited,INE176J01011
SIMPLXMIL,Simplex Mills Company Limited,INE457H01027
SIMPLXPAP,Simplex Papers Limited,INE456H01029
VEDAVAAG,VEDAVAAG Systems Limited,INE359B01010
BENGALASM,Bengal & Assam Company Limited,INE083K01017
PEIL,Premier Energy and Infrastructure Limited,INE429K01012
SURYAAMBA,Suryaamba Spinning Mills Limited,INE360J01011
BTTL,Bhilwara Technical Textiles Limited,INE274K01012
SPSL,Shree Precoated Steels Limited,INE318K01025
YUNIKM,Yunik Managing Advisors Limited,INE143K01019
COROENGG,Coromandel Engineering Company Limited,INE312J01012
TAMBOLIIN,Tamboli Industries Limited,INE864J01012
SATCH,Satchmo Holdings Limited,INE639K01016
GKB,GKB Ophthalmics Limited,INE265D01015
SEATV,Sea TV Network Limited,INE351L01016
RDBIPL,RDB Infrastructure And Power Limited,INE245L01028
KTIL,Kesar Terminals & Infrastructure Limited,INE096L01025
INOVSYNTH,Innovassynth Investments Limited,INE690J01011
TRUEGREEN,True Green Bio Energy Limited,INE672K01025
VMS,VMS Industries Limited,INE932K01015
ENKEIWHEL,Enkei Wheels (India) Limited,INE130L01014
LESHAIND,Lesha Industries Limited,INE050L01048
RDBRL,RDB Rasayans Limited,INE123M01017
FERVENTSYN,Fervent Synergies Limited,INE258M01011
PMCFIN,PMC Fincorp Limited,INE793G01035
FUTSOL,Futuristic Solutions Limited,INE241F01011
AIML,Alliance Integrated Metaliks Limited,INE123D01024
PYXISFIN,Pyxis Finvest Limited,INE883L01018
OLPCL,Olympic Cards Limited,INE550L01013
MAXHEIGHTS,Max heights Infrastucture Limited,INE393F01010
LOOKS,Looks Health Services Limited,INE204N01013
META,String Metaverse Limited,INE958L01026
AMTL,Advance Metering Technology Limited,INE436N01029
JUPITERIN,Jupiter Infomedia Limited,INE524N01014
VINAYAKPOL,Vinayak Polycon International Limited,INE581M01016
JOINTECAED,Jointeca Education Solutions Limited,INE131N01018
COMCL,Comfort Commotrade Limited,INE456N01019
SHANTIGURU,Shanti Guru Industries Limited,INE892L01019
CASPIAN,Caspian Corporate Services Limited,INE176N01039
AERPACE,Aerpace Industries Limited,INE175N01023
VIRTUALG,Virtual Global Education Limited,INE247C01023
TRIOMERC,Trio Mercantile & Trading Limited,INE234G01022
CDG,CDG Petchem Limited,INE198N01017
COVIDH,Covidh Technologies Limited,INE899M01020
MUKTA,Mukta Agriculture Limited,INE160O01031
MYSTICELE,Mystic Electronics Limited,INE159O01033
COMFINCAP,Comfort Fincap Limited,INE274M01026
SBISENSEX,SBI Mutual Fund - SBI Sensex ETF,INF200K01VT2
BMAL,Bothra Metals & Alloys Limited,INE583M01012
LAKHOTIA,Lakhotia Polyesters (India) Limited,INE191O01010
GCMSECU,GCM Securities Limited,INE168O01026
PRIMECAPM,Prime Capital Market Limited,INE748D01010
KIFS,KIFS Financial Services Limited,INE902D01013
BINNYMILLS,Binny Mills Limited,INE160L01011
SVGLOBAL,S V Global Mill Limited,INE159L01013
SDC,SDC Techmedia Limited,INE807O01011
OONE,ObjectOne Information Systems Limited,INE860E01011
IFINSEC,India Finsec Limited,INE474O01010
BRAHMINFRA,Brahmaputra Infrastructure Limited,INE320I01017
AMPVOLTS,Ampvolts Limited,INE989J01017
KHOOBSURAT,Khoobsurat Limited,INE731G01027
MMLF,Money Masters Leasing & Finance Limited,INE340O01021
ALSL,Alacrity Securities Limited,INE030P01017
GCMCOMM,GCM Commodity & Derivatives Limited,INE200P01016
JULIEN,Julien Agro Infratech Limited,INE890N01027
JKAGRI,JK Agri Genetics Limited,INE690O01011
NOVELIX,Novelix Pharmaceuticals Limited,INE314I01036
PVVINFRA,PVV Infra Limited,INE428B01021
VCU,VCU Data Management Limited,INE962O01014
INDRENEW,IND Renewable Energy Limited,INE138O01029
SRGFFL,SRG Fingrow Finance Limited,INE326P01019
ACFSL,Amrapali Capital and Finance Services Limited,INE218P01018
STELLAR,Stellar Capital Services Limited,INE325P01011
YURANUS,Yuranus Infrastructure Limited,INE156M01017
MOM100,Motilal Oswal Mutual Fund - Motilal Oswal MOSt Shares Midcap 100 ETF- Growth option,INF247L01023
CPL,Captain Polyplast Limited,INE536P01021
NIFTYIETF,ICICI Prudential Nifty 50 ETF,INF109K012R6
NIF100IETF,ICICI Prudential Nifty 100 ETF,INF109KC16V9
ARNOLD,Arnold Holdings Limited,INE185K01036
SUNLOC,Sunil Healthcare Limited,INE671C01016
CHEMTECH,Chemtech Industrial Valves Limited,INE212P01011
NIF100BEES,NIPPON INDIA ETF NIFTY 100,INF204K014N5
DENISCHEM,Denis Chem Lab Limited,INE051G01012
POLYMAC,Polymac Thermoformers Limited,INE826P01018
UNISHIRE,Unishire Urban Infra Limited,INE210P01015
LAXMIPATI,Laxmipati Engineering Works Limited,INE920P01019
LADDU,Laddu Gopal Online Services Limited,INE546I01025
NIFTY1,Kotak Nifty 50 ETF,INF174K014P6
HANSUGAR,Shree Hanuman Sugar & Industries Limited,INE101H01013
KIRANVYPAR,Kiran Vyapar Limited,INE555P01013
BCP,B.C. Power Controls Limited,INE905P01028
KCSL,Karnimata Cold Storage Limited,INE576P01019
MANGIND,Mangalam Industrial Finance Limited,INE717C01025
PHOENIXTN,Phoenix Township Limited,INE977M01024
RAUNAQ,Raunaq International Limited,INE523K01012
INFRONICS,Infronics Systems Limited,INE463B01036
CPSEETF,CPSE ETF,INF457M01133
HARIAAPL,Haria Apparels Limited,INE493N01012
VASUPRADA,Shri Vasuprada Plantations Limited,INE574G01013
SHARPINV,Sharp Investments Limited,INE909D01026
RESPONSINF,Response Informatics Limited,INE401B01010
GCMCAPI,GCM Capital Advisors Limited,INE191P01017
AFEL,A.F. Enterprises Limited,INE663P01015
WESTLEIRES,West Leisure Resorts Limited,INE266P01017
NAM,Nam Securities Limited,INE792G01011
METSL,Maestros Electronics & Telecommunications Systems Limited,INE318N01011
JACKSON,Jackson Investments Limited,INE508N01025
WORTH,Worth Investment & Trading Co Limited,INE114O01020
TPROJECT,Thirani Projects Limited,INE901C01017
AMARSEC,Amarnath Securities Limited,INE745P01010
CTL,Capital Trade Links Limited,INE172D01021
TARINI,Tarini International Limited,INE849M01017
SBL,Shivamshree Businesses Limited,INE857P01021
YAANENT,Yaan Enterprises Limited,INE969E01010
ANVRDHI,Annvrridhhi  Ventures Limited,INE075K01013
RLFL,Ramchandra Leasing & Finance Limited,INE516P01015
BRPL,Bansal Roofing Products Limited,INE319Q01012
ARMAN,Arman Holdings Limited,INE510P01018
SMTEL,SMT Engineering Limited,INE673E01018
JAMESWARREN,James Warren Tea Limited,INE718P01017
VISTARAMAR,Vistar Amar Limited,INE878P01019
FRUTION,Fruition Venture Limited,INE836C01015
TRIVENIENT,Triveni Enterprises Limited,INE916P01025
BHANDERI,Bhanderi Infracon Limited,INE336Q01016
ZINEMA,Zinema Media And Entertainment Limited,INE641Q01019
CEMAINFRA,Cemantic Infra-Tech Limited,INE222B01028
TTIENT,TTI Enterprise Limited,INE404F01031
VISHAL,Vishal Fabrics Limited,INE755Q01025
TOYAMSL,Toyam Sports Limited,INE457P01020
GAJANANSEC,Gajanan Securities Services Limited,INE868G01019
UNISON,Unison Metals Limited,INE099D01026
RTFL,Real Touch Finance Limited,INE840I01014
VRL,Vasundhara Rasayans Limited,INE406F01010
QGO,QGO Finance Limited,INE837C01013
PURSHOTTAM,Purshottam Investofin Limited,INE729C01020
HCLimited,Hind Commerce Limited,INE691J01019
SIROHIA,Sirohia & Sons Limited,INE785O01019
MIIL,Meghna Infracon Infrastructure Limited,INE898Q01015
CITYONLINE,City Online Services Limited,INE158C01014
SENSEXBEES,Nippon India ETF S&P BSE Sensex,INF204KA1UN7
ULTRACAB,Ultracab (India) Limited,INE010R01023
RCCL,Rajasthan Cylinders & Containers Limited,INE929D01016
ETIL,Econo Trade (India) Limited,INE937K01014
ATISHAY,Atishay Limited,INE011R01013
SANGAMFIN,Sangam Finserv Limited,INE475D01010
DHABRIYA,Dhabriya Polywood Limited,INE260R01016
ARYACAPM,Aryaman Capital Markets Limited,INE229R01011
HANMAN,Hanman Fit Limited,INE982Q01017
VGCL,Vibrant Global Capital Limited,INE761Q01015
CEINSYSTECH,Ceinsys Tech Limited,INE016Q01014
PANABYTE,Panabyte Technologies Limited,INE516E01019
MUDUNURU,Mudunuru Limited,INE491C01027
JSHL,JLA Infraville Shoppers Limited,INE401Q01018
CRANEINFRA,Crane Infrastructure Limited,INE176L01017
NIYOGIN,Niyogin Fintech Limited,INE480D01010
ASIACAP,Asia Capital Limited,INE131Q01011
KALYANCAP,Kalyan Capitals Limited,INE149Q01021
GBFL,Goenka Business & Finance Limited,INE997C01015
GILADAFINS,Gilada Finance & Investments Limited,INE918C01029
JETSOLAR,Jet Solar Limited,INE155R01018
SAPPL,Shree Ajit Pulp And Paper Limited,INE185C01017
CAPPIPES,Captain Pipes Limited,INE513R01026
KAIZENAGRO,Kaizen Agro Infrabuild Limited,INE891N01017
JMJFIN,JMJ Fintech Limited,INE242Q01016
JSTL,Jeevan Scientific Technology Limited,INE237B01018
ICL,Indo Cotspin Limited,INE407P01017
SCC,Scintilla Commercial & Credit Limited,INE892C01018
PANAFIC,Panafic Industrials Limited,INE655P01029
MYMONEY,My Money Securities Limited,INE232L01018
AMARNATH,Sri Amarnath Finance Limited,INE985Q01010
CSL,Continental Securities Limited,INE183Q01020
NEXUSSURGL,Nexus Surgical And Medicare Limited,INE370Q01015
SELLWIN,Sellwin Traders Limited,INE195F01027
GALADAFIN,Galada Finance Limited,INE243E01010
EMERALD,Emerald Finance Limited,INE030Q01015
MKEXIM,M.K. Exim (India) Limited,INE227F01010
OCTAL,Octal Credit Capital Limited,INE513C01010
MIHIKA,Mihika Industries Limited,INE779Q01017
KANCHI,Kanchi Karpooram Limited,INE081G01019
VANICOM,Vani Commercials Limited,INE661Q01017
SKILVEN,Skyline Ventures India Limited,INE055Q01012
RAFL,Raghuvansh Agrofarms Limited,INE865P01016
COSYN,COSYN Limited,INE029B01019
SOFCOM,Sofcom Systems Limited,INE499Q01012
NAPL,Naturite Agro Products Limited,INE223R01014
KARNAVATI,Karnavati Finance Limited,INE554R01020
ABHIFIN,Abhishek Finlease Limited,INE723C01015
MERCANTILE,Mercantile Ventures Limited,INE689O01013
SONAL,Sonal Mercantile Limited,INE321M01017
ALFL,Abhinav Leasing & Finance Limited,INE211D01027
MERCURYLAB,Mercury Laboratories Limited,INE947G01011
CONCORD,Concord Drugs Limited,INE858L01010
WARDINMOBI,Wardwizard Innovations & Mobility Limited,INE945P01024
SHREESEC,Shree Securities Limited,INE397C01026
TALBROSENG,Talbros Engineering Limited,INE717E01013
SAPL,SAR Auto Products Limited,INE002E01010
PUROHITCON,Purohit Construction Limited,INE147J01012
JAYATMA,Jayatma Enterprises Limited,INE246D01015
CHENFERRO,Chennai Ferrous Industries Limited,INE777O01016
MEGRISOFT,Megri Soft Limited,INE756R01013
GITARENEW,Gita Renewable Energy Limited,INE776O01018
KALPACOMME,Kalpa Commercial Limited,INE059Q01014
NEIL,Neil Industries Limited,INE396C01010
STARHFL,Star Housing Finance Limited,INE526R01028
BEEKAY,Beekay Steel Industries Limited,INE213D01015
SSPNFIN,SSPN Finance Limited,INE820R01017
SETFBSE100,SBI Mutual Fund - SBI - ETF BSE 100,INF200KA1572
FRASER,Fraser and Company Limited,INE184Q01010
TIRUPATIIN,Tirupati Innovar Limited,INE812Q01016
GANVERSE,Ganesha Ecoverse Limited,INE369Q01017
RAJPUTANA,Rajputana Investment and Finance Limited,INE751R01014
CITL,Consecutive Investment & Trading Company Limited,INE187R01029
URSUGAR,UR Sugar Industries Limited,INE904R01027
FILTRA,Filtra Consultants and Engineers Limited,INE541R01019
ATHCON,Athena Constructions Limited,INE291R01011
NORTHLINK,Northlink Fiscal and Capital Services Limited,INE736P01019
SHESHAINDS,Sheshadri Industries Limited,INE193R01019
SAB,SAB Industries Limited,INE137M01017
PML,Paul Merchants Limited,INE291E01019
ALANSCOTT,Alan Scott Enterprises Limited,INE273F01022
OPCHAINS,O. P. Chains Limited,INE118Q01018
SUJALA,Sujala Trading & Holdings Limited,INE029H01016
JAINMARMO,Jain Marmo Industries Limited,INE780Q01015
GRAMEVA,Grameva Limited,INE578R01011
PALCO,Palco Metals Limited,INE239L01013
BODHTREE,Bodhtree Consulting Limited,INE104F01029
VBIND,V B Industries Limited,INE334E01017
SARVOTTAM,Sarvottam Finvest Limited,INE822Q01015
WARDWIZFBL,Wardwizard Foods and Beverages Limited,INE761D01021
PANTH,Panth Infinity Limited,INE945O01019
ICSL,Integrated Capital Services Limited,INE682B01023
VLL,Virat Leasing Limited,INE347L01022
HELPAGE,Helpage Finlease Limited,INE738P01015
BLUEGOD,Bluegod Entertainment Limited,INE924N01024
HAWAENG,Hawa Engineers Limited,INE230I01018
ADHBHUTIN,Adhbhut Infrastructure Limited,INE578L01014
DFL,Decillion Finance Limited,INE848N01017
POEL,POCL Enterprises Limited,INE035S01028
AEL,Amba Enterprises Limited,INE829P01020
GVBL,Genomic Valley Biotech Limited,INE574D01010
GARMNTMNTR,Garment Mantra Lifestyle Limited,INE653S01028
SRESTHA,Srestha Finvest Limited,INE606K01049
SAUMYA,Saumya Consultants Limited,INE563C01015
MUL,Mauria Udyog Limited,INE150D01027
MISHKA,Mishka Exim Limited,INE540S01019
GROWINGTON,Growington Ventures India Limited,INE451S01027
HCKKVENTURE,HCKK Ventures Limited,INE345Q01017
LOYAL,Loyal Equipments Limited,INE876S01017
GGPL,Gala Global Products Limited,INE480S01026
CHEMIESYNT,Chemiesynth (Vapi) Limited,INE829R01018
SURYAINDIA,Surya India Limited,INE446E01019
STARDELTA,Star Delta Transformers Limited,INE541K01014
AMRAFIN,Amrapali Fincap Limited,INE990S01016
SAMSRITA,Samsrita Labs Limited,INE579N01018
PECOS,Pecos Hotels and Pubs Limited,INE484S01010
MSL,Mangalam Seeds Limited,INE829S01016
ALSTONE,Alstone Textiles (India) Limited,INE184S01024
SYMBIOX,Symbiox Investment & Trading Company Limited,INE653R01012
AVI,AVI Polymers Limited,INE897N01014
SUNRAKSHAK,Sunrakshakk Industries India Limited,INE671K01027
THINKINK,Thinkink Picturez Limited,INE365S01045
SENSEXBETA,UTI BSE SENSEX ETF,INF789FB1X58
NIFTYBETA,UTI NIFTY 50 ETF,INF789F1AZC0
UNIAUTO,Universal Autofoundry Limited,INE203T01012
CHPLIND,CHPL Industries Limited,INE714Q01014
WAAREE,Waaree Technologies Limited,INE725P01012
PBFL,P. B. Films Limited,INE212Q01019
SALAUTO,Sal Automotive Limited,INE724G01014
POLYSPIN,Polyspin Exports Limited,INE914G01029
SML,Soni Medicare Limited,INE848R01018
MAHAVEER,Mahaveer Infoway Limited,INE019D01016
KRISHNACAP,Krishna Capital and Securities Limited,INE897B01019
ACME,Acme Resources Limited,INE636B01011
KCL,Kabra Commercial Limited,INE926E01010
VISHALBL,Vishal Bearings Limited,INE060T01024
PJL,Patdiam Jewellery Limited,INE473T01011
NAKSH,Naksh Precious Metals Limited,INE256S01012
DITCO,Decorous Investment & Trading Co Limited,INE183R01010
SWAGTAM,Swagtam Trading & Services Limited,INE150R01019
KUBERJI,Kuber Udyog Limited,INE594R01018
NEERAJ,Neeraj Paper Marketing Limited,INE894J01019
TEJNAKSH,Tejnaksh Healthcare Limited,INE030T01027
BRIPORT,Brilliant Portfolios Limited,INE661F01010
RFSL,Richfield Financial Services Limited,INE201C01012
IGCIL,IGC Industries Limited,INE099S01016
ARYAVAN,Aryavan Enterprise Limited,INE360S01012
TFSL,Typhoon Financial Services Limited,INE761R01013
PANORAMA,Panorama Studios International Limited,INE258R01028
SHREEGANES,Shree Ganesh Biotech (India) Limited,INE051N01026
GTV,GTV Engineering Limited,INE910R01024
LICNETFN50,LIC MF EXCHANGE TRADED FUND- NIFTY 50,INF767K01OS7
LICNETFSEN,LIC MF EXCHANGE TRADED FUND- SENSEX,INF767K01OT5
TFLL,Tirupati Finlease Limited,INE027S01017
GARBIFIN,Garbi Finvest Limited,INE721C01019
SMARTFIN,Smart Finsec Limited,INE766D01020
RAJKOTINV,Rajkot Investment Trust Limited,INE176R01014
ADCON,Adcon Capital Services Limited,INE805Q01028
QUINT,Quint Digital Limited,INE641R01017
HDFCNIFTY,HDFC NIFTY 50 ETF,INF179KC1965
HDFCSENSEX,HDFC S&P BSE Sensex ETF,INF179KC1HX2
UDAYJEW,Uday Jewellery Industries Limited,INE551B01012
SATTVASUKU,Sattva Sukun Lifecare Limited,INE280E01038
NAVIGANT,Navigant Corporate Advisors Limited,INE364T01012
GROVY,Grovy India Limited,INE343C01012
SCTL,Suncare Traders Limited,INE452S01025
CREATIVE,Creative Castings Limited,INE146E01015
AAYUSH,Aayush Wellness Limited,INE430R01023
ELITECON,Elitecon International Limited,INE669R01026
VALLEY,Valley Magnesite Company Limited,INE834E01016
ABHIINFRA,Abhishek Infraventures Limited,INE281P01016
APOORVA,Apoorva Leasing Finance and Investment Company Limited,INE217S01014
AGRIBIO,Agribio Spirits Limited,INE679E01015
FMEC,F Mec International Financial Services Limited,INE108T01013
DDIL,Deep Diamond India Limited,INE005G01026
ABHIJIT,Abhijit Trading Company Limited,INE994N01019
REMLIFE,Remedium Lifecare Limited,INE549S01036
AARNAV,Aarnav Fashions Limited,INE750R01016
SCL,Sunshine Capital Limited,INE974F01025
SIPTL,Sharanam Infraproject and Trading Limited,INE104S01022
SHIVA,Shivansh Finserve Limited,INE728Q01014
MISHTANN,Mishtann Foods Limited,INE094S01041
DELTA,Delta Industrial Resources Limited,INE681Q01015
CGFL,Credent Global Finance Limited,INE727C01024
KEL,Kotia Enterprises Limited,INE079C01012
BLUECLOUDS,Blue Cloud Softech Solutions Limited,INE373T01047
KEIL,Kanoria Energy & Infrastructure Limited,INE534E01020
BCLENTERPR,BCL Enterprises Limited,INE368E01023
KAMATS,Vikram Kamats Hospitality Limited,INE564S01019
ACEMEN,Ace Men Engg Works Limited,INE023R01018
BFLAFL,BFL Asset Finvest Limited,INE948Q01018
RGF,RGF Capital Markets Limited,INE684D01025
RCL,Radhagobind Commercial Limited,INE792P01020
KAPILRAJ,Kapil Raj Finance Limited,INE332Q01023
GANGAPHARM,Ganga Pharmaceuticals Limited,INE615T01017
DAL,Dynamic Archistructures Limited,INE874E01012
MOBAVENUE,Mobavenue AI Tech Limited,INE622Q01019
SHIVKAMAL,Shivkamal Impex Limited,INE429R01017
RGCORP,Real Growth Corporation Limited,INE836D01013
IFINSER,Interactive Financial Services Limited,INE064T01018
HILIKS,Hiliks Technologies Limited,INE966Q01010
HYPERSOFT,Hypersoft Technologies Limited,INE039D01014
FREDUN,Fredun Pharmaceuticals Limited,INE194R01017
RELICAB,Relicab Cable Manufacturing Limited,INE773T01014
VKAL,Vantage Knowledge Academy Limited,INE427T01025
MEAPL,Modern Engineering And Projects Limited,INE250S01015
MNIL,Mega Nirman and Industries Limited,INE216Q01010
DARJEELING,Darjeeling Ropeway Company Limited,INE830S01014
ADVIKCA,Advik Capital Limited,INE178T01024
LICNFNHGP,LIC MF Exchange Traded Fund- NIFTY 100,INF767K01PC8
KDML,Khemani Distributors & Marketing Limited,INE030U01025
UMIYA,Umiya Tubes Limited,INE173U01015
CHDCHEM,CHD Chemicals Limited,INE043U01010
LELAVOIR,LE Lavoir Limited,INE204S01012
MUDRA,Mudra Financial Services Limited,INE967S01014
BALGOPAL,Balgopal Commercial Limited,INE119R01014
SUPERIOR,Superior Finlease Limited,INE574R01028
FRANKLIN,Franklin Leasing and Finance Limited,INE399S01010
LANCER,Lancer Container Lines Limited,INE359U01028
GHUSHINE,Ghushine Fintrrade Ocean Limited,INE009U01011
RSDFIN,RSD Finance Limited,INE616F01022
DARSHANORNA,Darshan Orna Limited,INE671T01028
MADHAVIPL,Madhav Infra Projects Limited,INE631R01026
SPICELOUNG,Spice Lounge Food Works Limited,INE631E01024
DIDL,Dalmia Industrial Development Limited,INE642P01019
SNIM,Svarnim Trade Udyog Limited,INE730R01042
SEIL,Shanti Educational Initiatives Limited,INE440T01028
RGIL,Rotographics (India) Limited,INE364S01014
LIKHAMI,Likhami Consulting Limited,INE920T01011
MIL,Medico Intercontinental Limited,INE858Q01019
YASHCHEM,Yash Chemex Limited,INE571U01010
NV20IETF,ICICI Prudential Nifty50 Value 20 ETF,INF109KC11V0
BAZELINTER,Bazel International Limited,INE217E01014
JLL,Jindal Leasefin Limited,INE919T01013
TAALTECH,TAAL Tech Limited,INE524T01011
ZEAL,Zeal Aqua Limited,INE819S01025
MIDSELIETF,ICICI Prudential BSE Midcap Select ETF,INF109KC10W0
SIDH,Sidh Automobiles Limited,INE403L01015
HUIL,Hindusthan Urban Infrastructure Limited,INE799B01017
TITAANIUM,Titaanium Ten Enterprise Limited,INE120V01014
CFEL,Confidence Futuristic Energetech Limited,INE700F01024
KPL,Kwality Pharmaceuticals Limited,INE552U01010
EASTWEST,East West Freight Carriers Limited,INE595R01023
BSLSENETFG,Aditya Birla Sun Life BSE Sensex ETF,INF209KB10E8
COLORCHIPS,Colorchips New Media Limited,INE621I01042
LAHL,Ladam Affordable Housing Limited,INE213U01019
GOLDENCREST,Golden Crest Education & Services Limited,INE222U01010
ECS,ECS Biztech Limited,INE925Q01024
AMS,AMS Polymers Limited,INE345U01019
SHIVAEXPO,Shiva Granito Export Limited,INE191V01015
MITSU,Mitsu Chem Plast Limited,INE317V01016
SPRAYKING,Sprayking Limited,INE537U01037
DHATRE,Dhatre Udyog Limited,INE715T01031
RSTL,Riddhi Steel and Tube Limited,INE367U01013
GAMCO,Gamco Limited,INE890S01026
SIIL,Sabrimala Industries India Limited,INE400R01018
IISL,Ishaan Infrastructures and Shelters Limited,INE818R01011
ARCFIN,ARC Finance Limited,INE202R01026
SAGARSOFT,Sagarsoft (India) Limited,INE184B01012
DRA,DRA Consultants Limited,INE746V01016
ACML,Aditya Consumer Marketing Limited,INE427V01013
SHASHIJIT,Shashijit Infraprojects Limited,INE700V01021
BINDALEXPO,Bindal Exports Limited,INE564V01013
MHEL,Mewar Hi-Tech Engineering Limited,INE957U01011
DIKSAT,Diksat Transworld Limited,INE942P01013
IDFSENSEXE,Bandhan S&P BSE SENSEX ETF,INF194KA1T91
PURPLE,Purple Entertainment Limited,INE905R01016
SUPRAPFSL,Supra Pacific Financial Services Limited,INE268T01015
SOUTHERNIN,Southern Infoconsultants Limited,INE298B01010
REGENCY,Regency Fincorp Limited,INE964R01013
SALEM,Salem Erode Investments Limited,INE894E01028
UPROTECH,Unipro Technologies Limited,INE448F01012
FRANKLININD,Franklin Industries Limited,INE789R01022
LKPSEC,LKP Securities Limited,INE341H01023
OSIAJEE,Osiajee Texfab Limited,INE186R01013
CMBL,Corporate Merchant Bankers Limited,INE850R01014
EIKO,Eiko Lifesciences Limited,INE666Q01016
SHASHANK,Shashank Traders Limited,INE508R01018
NEWLIGHT,New Light Industries Limited,INE835U01027
VSL,Viram Suvarn Limited,INE607V01028
MTPL,Marg Techno Projects Limited,INE245H01018
SHANGAR,Shangar Decor Limited,INE118R01032
GLCL,Globe Commercials Limited,INE804Q01013
FLORACORP,Flora Corporation Limited,INE318U01016
SKL,Super Fine Knitters Limited,INE459U01018
RAIDEEPIND,Raideep Industries Limited,INE923R01019
CFL,Classic Filaments Limited,INE181U01018
SUERYAAKNI,Sueryaa Knitwear Limited,INE249U01013
TANVI,Tanvi Foods (India) Limited,INE978V01015
RMC,RMC Switchgears Limited,INE655V01019
PARMAX,Parmax Pharma Limited,INE240T01014
LLFICL,Leading Leasing Finance And Investment Company Limited,INE715Q01029
DANUBE,Danube Industries Limited,INE575D01041
IFL,IFL Enterprises Limited,INE714U01024
ONTIC,Ontic Finserve Limited,INE989S01042
CHEMCRUX,Chemcrux Enterprises Limited,INE298W01016
MAXIMUS,Maximus International Limited,INE544W01021
MANAS,Manas Properties Limited,INE800W01019
PRIMEFRESH,Prime Fresh Limited,INE442V01012
OCEANIC,Oceanic Foods Limited,INE711V01010
OCTAWARE,Octaware Technologies Limited,INE208U01019
ESCORP,Escorp Asset Management Limited,INE953W01016
PARMSILK,Parmeshwari Silk Mills Limited,INE808R01012
KMSMEDI,KMS Medisurgi Limited,INE870V01014
CLFL,Classic Leasing & Finance Limited,INE949C01016
STARLENT,Starlineps Enterprises Limited,INE594W01042
KANUNGO,Kanungo Financiers Limited,INE453S01015
MEERA,Meera Industries Limited,INE343X01018
BGJL,Bhakti Gems and Jewellery Limited,INE986W01016
VARIMAN,Variman Global Enterprises Limited,INE717F01028
RIDDHICORP,Riddhi Corporate Services Limited,INE325X01015
CONTAINER,Containerway International Limited,INE319U01022
LOWVOLIETF,ICICI Prudential Nifty 100 Low Volatility 30 ETF,INF109KC19U5
GEL,Gautam Exim Limited,INE721X01015
GGENG,G G Engineering Limited,INE694X01030
7NR,7NR Retail Limited,INE413X01035
JIGAR,Jigar Cables Limited,INE943X01015
CTCL,Captain Technocast Limited,INE931X01010
GSTL,Globalspace Technologies Limited,INE632W01016
NEXT50BETA,UTI Nifty Next 50 ETF,INF789F1AUW9
